signal,scenario,method,use_flooding,mse_clean_p,mse_clean_rel_change,mse_clean_test
Real,Riboflavin,TopK,False,0.77467,0.0022,t-test
Linear,Baseline,TopK,True,0.0,0.046,Wilcoxon
Linear,Multicollinearity,TopK,True,0.0,0.0424,t-test
Linear,High-dimensionality,TopK,True,0.0,0.0606,Wilcoxon
Linear,High noise,TopK,True,4e-05,0.0296,Wilcoxon
Linear,All deviations,TopK,True,0.2367,0.0067,t-test
Smooth,Baseline,TopK,True,0.0,0.1211,t-test
Smooth,Multicollinearity,TopK,True,0.0,0.0963,Wilcoxon
Smooth,High-dimensionality,TopK,True,0.01853,0.0395,Wilcoxon
Smooth,High noise,TopK,True,0.0,0.0422,Wilcoxon
Smooth,All deviations,TopK,True,0.01643,0.0223,Wilcoxon
Sine,Baseline,TopK,True,0.0,0.2913,t-test
Sine,Multicollinearity,TopK,True,0.0,0.1322,t-test
Sine,High-dimensionality,TopK,True,0.0,0.4275,t-test
Sine,High noise,TopK,True,0.0,0.104,t-test
Sine,All deviations,TopK,True,0.0,0.0899,Wilcoxon
Step,Baseline,TopK,True,0.0,0.3125,t-test
Step,Multicollinearity,TopK,True,0.0,0.2731,t-test
Step,High-dimensionality,TopK,True,0.0,0.3504,t-test
Step,High noise,TopK,True,0.0,0.1681,t-test
Step,All deviations,TopK,True,0.0,0.1631,t-test
Mixed,Baseline,TopK,True,0.0,0.0707,t-test
Mixed,Multicollinearity,TopK,True,0.00433,0.0162,t-test
Mixed,High-dimensionality,TopK,True,0.0,0.0365,Wilcoxon
Mixed,High noise,TopK,True,0.16583,0.0029,t-test
Mixed,All deviations,TopK,True,0.00814,0.0104,Wilcoxon
Real,Bodyfat,TopK,True,0.0,0.0861,Wilcoxon
Real,Diabetes,TopK,True,2e-05,0.0265,Wilcoxon
Real,Riboflavin,TopK,True,1.0,-0.0109,Wilcoxon
Linear,Baseline,TopK+Momentum,False,0.00041,0.0044,t-test
Linear,Multicollinearity,TopK+Momentum,False,0.0,0.0288,t-test
Linear,High-dimensionality,TopK+Momentum,False,0.0,0.0164,t-test
Linear,High noise,TopK+Momentum,False,0.64083,0.0006,Wilcoxon
Linear,All deviations,TopK+Momentum,False,0.62967,-0.0014,t-test
Smooth,Baseline,TopK+Momentum,False,0.0,0.085,Wilcoxon
Smooth,Multicollinearity,TopK+Momentum,False,0.0,0.1015,t-test
Smooth,High-dimensionality,TopK+Momentum,False,0.01966,0.0405,Wilcoxon
Smooth,High noise,TopK+Momentum,False,0.05769,0.0095,Wilcoxon
Smooth,All deviations,TopK+Momentum,False,0.04895,0.026,t-test
Sine,Baseline,TopK+Momentum,False,0.0,0.164,t-test
Sine,Multicollinearity,TopK+Momentum,False,0.0,0.1231,t-test
Sine,High-dimensionality,TopK+Momentum,False,0.0,0.2163,t-test
Sine,High noise,TopK+Momentum,False,1e-05,0.0172,Wilcoxon
Sine,All deviations,TopK+Momentum,False,0.00382,0.0112,t-test
Step,Baseline,TopK+Momentum,False,0.0,0.3003,t-test
Step,Multicollinearity,TopK+Momentum,False,0.0,0.2471,t-test
Step,High-dimensionality,TopK+Momentum,False,0.0,0.2706,t-test
Step,High noise,TopK+Momentum,False,0.0,0.1389,Wilcoxon
Step,All deviations,TopK+Momentum,False,0.00031,0.0614,t-test
Mixed,Baseline,TopK+Momentum,False,0.0,0.0681,Wilcoxon
Mixed,Multicollinearity,TopK+Momentum,False,0.00083,0.0159,t-test
Mixed,High-dimensionality,TopK+Momentum,False,0.0,0.0388,Wilcoxon
Mixed,High noise,TopK+Momentum,False,0.04726,0.0021,Wilcoxon
Mixed,All deviations,TopK+Momentum,False,0.68505,-0.0004,Wilcoxon
Real,Bodyfat,TopK+Momentum,False,4e-05,0.078,Wilcoxon
Real,Diabetes,TopK+Momentum,False,0.28937,-0.001,Wilcoxon
Real,Riboflavin,TopK+Momentum,False,0.42653,0.0066,t-test
Linear,Baseline,TopK+Momentum,True,0.0,0.0465,t-test
Linear,Multicollinearity,TopK+Momentum,True,0.0,0.0439,Wilcoxon
Linear,High-dimensionality,TopK+Momentum,True,0.00056,0.042,t-test
Linear,High noise,TopK+Momentum,True,1e-05,0.0302,Wilcoxon
Linear,All deviations,TopK+Momentum,True,0.49174,0.0032,t-test
Smooth,Baseline,TopK+Momentum,True,0.0,0.1433,Wilcoxon
Smooth,Multicollinearity,TopK+Momentum,True,0.0,0.099,t-test
Smooth,High-dimensionality,TopK+Momentum,True,0.00993,0.0547,Wilcoxon
Smooth,High noise,TopK+Momentum,True,3e-05,0.039,t-test
Smooth,All deviations,TopK+Momentum,True,0.03419,0.029,t-test
Sine,Baseline,TopK+Momentum,True,0.0,0.2946,t-test
Sine,Multicollinearity,TopK+Momentum,True,0.0,0.133,t-test
Sine,High-dimensionality,TopK+Momentum,True,0.0,0.4347,t-test
Sine,High noise,TopK+Momentum,True,0.0,0.1044,t-test
Sine,All deviations,TopK+Momentum,True,0.0,0.0901,t-test
Step,Baseline,TopK+Momentum,True,0.0,0.3065,t-test
Step,Multicollinearity,TopK+Momentum,True,0.0,0.252,t-test
Step,High-dimensionality,TopK+Momentum,True,0.0,0.2793,t-test
Step,High noise,TopK+Momentum,True,0.0,0.1677,t-test
Step,All deviations,TopK+Momentum,True,2e-05,0.0766,t-test
Mixed,Baseline,TopK+Momentum,True,0.0,0.072,t-test
Mixed,Multicollinearity,TopK+Momentum,True,0.00192,0.0177,t-test
Mixed,High-dimensionality,TopK+Momentum,True,0.0,0.0372,Wilcoxon
Mixed,High noise,TopK+Momentum,True,0.07885,0.0037,t-test
Mixed,All deviations,TopK+Momentum,True,0.21645,0.0045,t-test
Real,Bodyfat,TopK+Momentum,True,0.0,0.0959,Wilcoxon
Real,Diabetes,TopK+Momentum,True,4e-05,0.0261,Wilcoxon
Real,Riboflavin,TopK+Momentum,True,0.95153,0.0046,Wilcoxon
Linear,Baseline,Vanilla,True,0.00064,0.0138,Wilcoxon
Linear,Multicollinearity,Vanilla,True,0.06298,0.0078,Wilcoxon
Linear,High-dimensionality,Vanilla,True,0.27485,0.0027,Wilcoxon
Linear,High noise,Vanilla,True,0.00013,0.0168,Wilcoxon
Linear,All deviations,Vanilla,True,0.60509,-0.0004,Wilcoxon
Smooth,Baseline,Vanilla,True,0.50341,0.0005,Wilcoxon
Smooth,Multicollinearity,Vanilla,True,0.23672,-0.0047,Wilcoxon
Smooth,High-dimensionality,Vanilla,True,0.38627,-0.0013,Wilcoxon
Smooth,High noise,Vanilla,True,0.3382,0.0031,Wilcoxon
Smooth,All deviations,Vanilla,True,0.88864,-0.0014,Wilcoxon
